Round 1 - Start Time: 04.30 AM
Iteration 9 - 16th Oct : 04.27 AM
Iteration 10 - 16th Oct : 04.27 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.27 AM
Iteration 2 - 16th Oct : 04.27 AM
Iteration 3 - 16th Oct : 04.27 AM
Iteration 4 - 16th Oct : 04.27 AM
Iteration 5 - 16th Oct : 04.27 AM
Iteration 6 - 16th Oct : 04.27 AM
Iteration 7 - 16th Oct : 04.27 AM
Iteration 8 - 16th Oct : 04.27 AM
Iteration 9 - 16th Oct : 04.27 AM
Iteration 10 - 16th Oct : 04.27 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.27 AM
Iteration 2 - 16th Oct : 04.27 AM
Iteration 3 - 16th Oct : 04.27 AM
Iteration 4 - 16th Oct : 04.27 AM
Iteration 5 - 16th Oct : 04.27 AM
Iteration 6 - 16th Oct : 04.27 AM
Iteration 7 - 16th Oct : 04.28 AM
Iteration 8 - 16th Oct : 04.28 AM
Iteration 9 - 16th Oct : 04.28 AM
Iteration 10 - 16th Oct : 04.28 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.28 AM
Iteration 2 - 16th Oct : 04.28 AM
Iteration 3 - 16th Oct : 04.28 AM
Iteration 4 - 16th Oct : 04.28 AM
Iteration 5 - 16th Oct : 04.28 AM
Iteration 6 - 16th Oct : 04.28 AM
Iteration 7 - 16th Oct : 04.28 AM
Iteration 8 - 16th Oct : 04.28 AM
Iteration 9 - 16th Oct : 04.28 AM
Iteration 10 - 16th Oct : 04.28 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.28 AM
Iteration 2 - 16th Oct : 04.28 AM
Iteration 3 - 16th Oct : 04.28 AM
Iteration 4 - 16th Oct : 04.28 AM
Iteration 5 - 16th Oct : 04.28 AM
Iteration 6 - 16th Oct : 04.28 AM
Iteration 7 - 16th Oct : 04.28 AM
Iteration 8 - 16th Oct : 04.28 AM
Iteration 9 - 16th Oct : 04.28 AM
Iteration 10 - 16th Oct : 04.28 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.28 AM
Iteration 2 - 16th Oct : 04.28 AM
Iteration 3 - 16th Oct : 04.28 AM
Iteration 4 - 16th Oct : 04.28 AM
Iteration 5 - 16th Oct : 04.28 AM
Iteration 6 - 16th Oct : 04.28 AM
Iteration 7 - 16th Oct : 04.28 AM
Iteration 8 - 16th Oct : 04.29 AM
Iteration 9 - 16th Oct : 04.29 AM
Iteration 10 - 16th Oct : 04.29 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.29 AM
Iteration 2 - 16th Oct : 04.29 AM
Iteration 3 - 16th Oct : 04.29 AM
Iteration 4 - 16th Oct : 04.29 AM
Iteration 5 - 16th Oct : 04.29 AM
Iteration 6 - 16th Oct : 04.29 AM
Iteration 7 - 16th Oct : 04.29 AM
Iteration 8 - 16th Oct : 04.29 AM
Iteration 9 - 16th Oct : 04.29 AM
Iteration 10 - 16th Oct : 04.29 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.29 AM
Iteration 2 - 16th Oct : 04.29 AM
Iteration 3 - 16th Oct : 04.29 AM
Iteration 4 - 16th Oct : 04.29 AM
Iteration 5 - 16th Oct : 04.29 AM
Iteration 6 - 16th Oct : 04.29 AM
Iteration 7 - 16th Oct : 04.29 AM
Iteration 8 - 16th Oct : 04.29 AM
Iteration 9 - 16th Oct : 04.29 AM
Iteration 10 - 16th Oct : 04.29 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.29 AM
Iteration 2 - 16th Oct : 04.29 AM
Iteration 3 - 16th Oct : 04.29 AM
Iteration 4 - 16th Oct : 04.29 AM
Iteration 5 - 16th Oct : 04.29 AM
Iteration 6 - 16th Oct : 04.29 AM
Iteration 7 - 16th Oct : 04.29 AM
Iteration 8 - 16th Oct : 04.29 AM
Iteration 9 - 16th Oct : 04.30 AM
Iteration 10 - 16th Oct : 04.30 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.30 AM
Iteration 2 - 16th Oct : 04.30 AM
Iteration 3 - 16th Oct : 04.30 AM
Iteration 4 - 16th Oct : 04.30 AM
Iteration 5 - 16th Oct : 04.30 AM
Iteration 6 - 16th Oct : 04.30 AM
Iteration 7 - 16th Oct : 04.30 AM
Iteration 8 - 16th Oct : 04.30 AM
Iteration 9 - 16th Oct : 04.30 AM
Iteration 10 - 16th Oct : 04.30 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.30 AM
Iteration 2 - 16th Oct : 04.30 AM
Iteration 3 - 16th Oct : 04.30 AM
Iteration 4 - 16th Oct : 04.30 AM
Iteration 5 - 16th Oct : 04.30 AM
Iteration 6 - 16th Oct : 04.30 AM
Iteration 7 - 16th Oct : 04.30 AM
Iteration 8 - 16th Oct : 04.30 AM
Iteration 9 - 16th Oct : 04.30 AM
Iteration 10 - 16th Oct : 04.30 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.30 AM
Iteration 2 - 16th Oct : 04.30 AM
Iteration 3 - 16th Oct : 04.30 AM
Iteration 4 - 16th Oct : 04.30 AM
Iteration 5 - 16th Oct : 04.30 AM
Iteration 6 - 16th Oct : 04.30 AM
Iteration 7 - 16th Oct : 04.30 AM
Iteration 8 - 16th Oct : 04.31 AM
Iteration 9 - 16th Oct : 04.31 AM
Iteration 10 - 16th Oct : 04.31 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.31 AM
Iteration 2 - 16th Oct : 04.31 AM
Iteration 3 - 16th Oct : 04.31 AM
Iteration 4 - 16th Oct : 04.31 AM
Iteration 5 - 16th Oct : 04.31 AM
Iteration 6 - 16th Oct : 04.31 AM
Iteration 7 - 16th Oct : 04.31 AM
Iteration 8 - 16th Oct : 04.31 AM
Iteration 9 - 16th Oct : 04.31 AM
Iteration 10 - 16th Oct : 04.31 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.31 AM
Iteration 2 - 16th Oct : 04.31 AM
Iteration 3 - 16th Oct : 04.31 AM
Iteration 4 - 16th Oct : 04.31 AM
Iteration 5 - 16th Oct : 04.31 AM
Iteration 6 - 16th Oct : 04.31 AM
Iteration 7 - 16th Oct : 04.31 AM
Iteration 8 - 16th Oct : 04.31 AM
Iteration 9 - 16th Oct : 04.31 AM
Iteration 10 - 16th Oct : 04.31 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.31 AM
Iteration 2 - 16th Oct : 04.31 AM
Iteration 3 - 16th Oct : 04.31 AM
Iteration 4 - 16th Oct : 04.31 AM
Iteration 5 - 16th Oct : 04.31 AM
Iteration 6 - 16th Oct : 04.32 AM
Iteration 7 - 16th Oct : 04.32 AM
Iteration 8 - 16th Oct : 04.32 AM
Iteration 9 - 16th Oct : 04.32 AM
Iteration 10 - 16th Oct : 04.32 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.32 AM
Iteration 2 - 16th Oct : 04.32 AM
Iteration 3 - 16th Oct : 04.32 AM
Iteration 4 - 16th Oct : 04.32 AM
Iteration 5 - 16th Oct : 04.32 AM
Iteration 6 - 16th Oct : 04.32 AM
Iteration 7 - 16th Oct : 04.32 AM
Iteration 8 - 16th Oct : 04.32 AM
Iteration 9 - 16th Oct : 04.32 AM
Iteration 10 - 16th Oct : 04.32 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.32 AM
Iteration 2 - 16th Oct : 04.32 AM
Iteration 3 - 16th Oct : 04.32 AM
Iteration 4 - 16th Oct : 04.32 AM
Iteration 5 - 16th Oct : 04.32 AM
Iteration 6 - 16th Oct : 04.32 AM
Iteration 7 - 16th Oct : 04.32 AM
Iteration 8 - 16th Oct : 04.32 AM
Iteration 9 - 16th Oct : 04.32 AM
Iteration 10 - 16th Oct : 04.32 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.32 AM
Iteration 2 - 16th Oct : 04.32 AM
Iteration 3 - 16th Oct : 04.32 AM
Iteration 4 - 16th Oct : 04.32 AM
Iteration 5 - 16th Oct : 04.32 AM
Iteration 6 - 16th Oct : 04.32 AM
Iteration 7 - 16th Oct : 04.33 AM
Iteration 8 - 16th Oct : 04.33 AM
Iteration 9 - 16th Oct : 04.33 AM
Iteration 10 - 16th Oct : 04.33 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.33 AM
Iteration 2 - 16th Oct : 04.33 AM
Iteration 3 - 16th Oct : 04.33 AM
Iteration 4 - 16th Oct : 04.33 AM
Iteration 5 - 16th Oct : 04.33 AM
Iteration 6 - 16th Oct : 04.33 AM
Iteration 7 - 16th Oct : 04.33 AM
Iteration 8 - 16th Oct : 04.33 AM
Iteration 9 - 16th Oct : 04.33 AM
Iteration 10 - 16th Oct : 04.33 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.33 AM
Iteration 2 - 16th Oct : 04.33 AM
Iteration 3 - 16th Oct : 04.33 AM
Iteration 4 - 16th Oct : 04.33 AM
Iteration 5 - 16th Oct : 04.33 AM
Iteration 6 - 16th Oct : 04.33 AM
Iteration 7 - 16th Oct : 04.33 AM
Iteration 8 - 16th Oct : 04.33 AM
Iteration 9 - 16th Oct : 04.33 AM
Iteration 10 - 16th Oct : 04.33 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.33 AM
Iteration 2 - 16th Oct : 04.33 AM
Iteration 3 - 16th Oct : 04.33 AM
Iteration 4 - 16th Oct : 04.33 AM
Iteration 5 - 16th Oct : 04.33 AM
Iteration 6 - 16th Oct : 04.33 AM
Iteration 7 - 16th Oct : 04.34 AM
Iteration 8 - 16th Oct : 04.34 AM
Iteration 9 - 16th Oct : 04.34 AM
Iteration 10 - 16th Oct : 04.34 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.34 AM
Iteration 2 - 16th Oct : 04.34 AM
Iteration 3 - 16th Oct : 04.34 AM
Iteration 4 - 16th Oct : 04.34 AM
Iteration 5 - 16th Oct : 04.34 AM
Iteration 6 - 16th Oct : 04.34 AM
Iteration 7 - 16th Oct : 04.34 AM
Iteration 8 - 16th Oct : 04.34 AM
Iteration 9 - 16th Oct : 04.34 AM
Iteration 10 - 16th Oct : 04.34 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.34 AM
Iteration 2 - 16th Oct : 04.34 AM
Iteration 3 - 16th Oct : 04.34 AM
Iteration 4 - 16th Oct : 04.34 AM
Iteration 5 - 16th Oct : 04.34 AM
Iteration 6 - 16th Oct : 04.34 AM
Iteration 7 - 16th Oct : 04.34 AM
Iteration 8 - 16th Oct : 04.34 AM
Iteration 9 - 16th Oct : 04.34 AM
Iteration 10 - 16th Oct : 04.34 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.34 AM
Iteration 2 - 16th Oct : 04.34 AM
Iteration 3 - 16th Oct : 04.34 AM
Iteration 4 - 16th Oct : 04.34 AM
Iteration 5 - 16th Oct : 04.34 AM
Iteration 6 - 16th Oct : 04.34 AM
Iteration 7 - 16th Oct : 04.34 AM
Iteration 8 - 16th Oct : 04.35 AM
Iteration 9 - 16th Oct : 04.35 AM
Iteration 10 - 16th Oct : 04.35 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.35 AM
Iteration 2 - 16th Oct : 04.35 AM
Iteration 3 - 16th Oct : 04.35 AM
Iteration 4 - 16th Oct : 04.35 AM
Iteration 5 - 16th Oct : 04.35 AM
Iteration 6 - 16th Oct : 04.35 AM
Iteration 7 - 16th Oct : 04.35 AM
Iteration 8 - 16th Oct : 04.35 AM
Iteration 9 - 16th Oct : 04.35 AM
Iteration 10 - 16th Oct : 04.35 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.35 AM
Iteration 2 - 16th Oct : 04.35 AM
Iteration 3 - 16th Oct : 04.35 AM
Iteration 4 - 16th Oct : 04.35 AM
Iteration 5 - 16th Oct : 04.35 AM
Iteration 6 - 16th Oct : 04.35 AM
Iteration 7 - 16th Oct : 04.35 AM
Iteration 8 - 16th Oct : 04.35 AM
Iteration 9 - 16th Oct : 04.35 AM
Iteration 10 - 16th Oct : 04.35 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.35 AM
Iteration 2 - 16th Oct : 04.35 AM
Iteration 3 - 16th Oct : 04.35 AM
Iteration 4 - 16th Oct : 04.35 AM
Iteration 5 - 16th Oct : 04.35 AM
Iteration 6 - 16th Oct : 04.35 AM
Iteration 7 - 16th Oct : 04.35 AM
Iteration 8 - 16th Oct : 04.35 AM
Iteration 9 - 16th Oct : 04.36 AM
Iteration 10 - 16th Oct : 04.36 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.36 AM
Iteration 2 - 16th Oct : 04.36 AM
Iteration 3 - 16th Oct : 04.36 AM
Iteration 4 - 16th Oct : 04.36 AM
Iteration 5 - 16th Oct : 04.36 AM
Iteration 6 - 16th Oct : 04.36 AM
Iteration 7 - 16th Oct : 04.36 AM
Iteration 8 - 16th Oct : 04.36 AM
Iteration 9 - 16th Oct : 04.36 AM
Iteration 10 - 16th Oct : 04.36 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.36 AM
Iteration 2 - 16th Oct : 04.36 AM
Iteration 3 - 16th Oct : 04.36 AM
Iteration 4 - 16th Oct : 04.36 AM
Iteration 5 - 16th Oct : 04.36 AM
Iteration 6 - 16th Oct : 04.36 AM
Iteration 7 - 16th Oct : 04.36 AM
Iteration 8 - 16th Oct : 04.36 AM
Iteration 9 - 16th Oct : 04.36 AM
Iteration 10 - 16th Oct : 04.36 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.36 AM
Iteration 2 - 16th Oct : 04.36 AM
Iteration 3 - 16th Oct : 04.36 AM
Iteration 4 - 16th Oct : 04.36 AM
Iteration 5 - 16th Oct : 04.36 AM
Iteration 6 - 16th Oct : 04.36 AM
Iteration 7 - 16th Oct : 04.36 AM
Iteration 8 - 16th Oct : 04.36 AM
Iteration 9 - 16th Oct : 04.36 AM
Iteration 10 - 16th Oct : 04.37 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.37 AM
Iteration 2 - 16th Oct : 04.37 AM
Iteration 3 - 16th Oct : 04.37 AM
Iteration 4 - 16th Oct : 04.37 AM
Iteration 5 - 16th Oct : 04.37 AM
Iteration 6 - 16th Oct : 04.37 AM
Iteration 7 - 16th Oct : 04.37 AM
Iteration 8 - 16th Oct : 04.37 AM
Iteration 9 - 16th Oct : 04.37 AM
Iteration 10 - 16th Oct : 04.37 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.37 AM
Iteration 2 - 16th Oct : 04.37 AM
Iteration 3 - 16th Oct : 04.37 AM
Iteration 4 - 16th Oct : 04.37 AM
Iteration 5 - 16th Oct : 04.37 AM
Iteration 6 - 16th Oct : 04.37 AM
Iteration 7 - 16th Oct : 04.37 AM
Iteration 8 - 16th Oct : 04.37 AM
Iteration 9 - 16th Oct : 04.37 AM
Iteration 10 - 16th Oct : 04.37 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.37 AM
Iteration 2 - 16th Oct : 04.37 AM
Iteration 3 - 16th Oct : 04.37 AM
Iteration 4 - 16th Oct : 04.37 AM
Iteration 5 - 16th Oct : 04.37 AM
Iteration 6 - 16th Oct : 04.37 AM
Iteration 7 - 16th Oct : 04.37 AM
Iteration 8 - 16th Oct : 04.37 AM
Iteration 9 - 16th Oct : 04.37 AM
Iteration 10 - 16th Oct : 04.37 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.38 AM
Iteration 2 - 16th Oct : 04.38 AM
Iteration 3 - 16th Oct : 04.38 AM
Iteration 4 - 16th Oct : 04.38 AM
Iteration 5 - 16th Oct : 04.38 AM
Iteration 6 - 16th Oct : 04.38 AM
Iteration 7 - 16th Oct : 04.38 AM
Iteration 8 - 16th Oct : 04.38 AM
Iteration 9 - 16th Oct : 04.38 AM
Iteration 10 - 16th Oct : 04.38 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.38 AM
Iteration 2 - 16th Oct : 04.38 AM
Iteration 3 - 16th Oct : 04.38 AM
Iteration 4 - 16th Oct : 04.38 AM
Iteration 5 - 16th Oct : 04.38 AM
Iteration 6 - 16th Oct : 04.38 AM
Iteration 7 - 16th Oct : 04.38 AM
Iteration 8 - 16th Oct : 04.38 AM
Iteration 9 - 16th Oct : 04.38 AM
Iteration 10 - 16th Oct : 04.38 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.38 AM
Iteration 2 - 16th Oct : 04.38 AM
Iteration 3 - 16th Oct : 04.38 AM
Iteration 4 - 16th Oct : 04.38 AM
Iteration 5 - 16th Oct : 04.38 AM
Iteration 6 - 16th Oct : 04.38 AM
Iteration 7 - 16th Oct : 04.38 AM
Iteration 8 - 16th Oct : 04.38 AM
Iteration 9 - 16th Oct : 04.38 AM
Iteration 10 - 16th Oct : 04.38 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.38 AM
Iteration 2 - 16th Oct : 04.39 AM
Iteration 3 - 16th Oct : 04.39 AM
Iteration 4 - 16th Oct : 04.39 AM
Iteration 5 - 16th Oct : 04.39 AM
Iteration 6 - 16th Oct : 04.39 AM
Iteration 7 - 16th Oct : 04.39 AM
Iteration 8 - 16th Oct : 04.39 AM
Iteration 9 - 16th Oct : 04.39 AM
Iteration 10 - 16th Oct : 04.39 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.39 AM
Iteration 2 - 16th Oct : 04.39 AM
Iteration 3 - 16th Oct : 04.39 AM
Iteration 4 - 16th Oct : 04.39 AM
Iteration 5 - 16th Oct : 04.39 AM
Iteration 6 - 16th Oct : 04.39 AM
Iteration 7 - 16th Oct : 04.39 AM
Iteration 8 - 16th Oct : 04.39 AM
Iteration 9 - 16th Oct : 04.39 AM
Iteration 10 - 16th Oct : 04.39 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.39 AM
Iteration 2 - 16th Oct : 04.39 AM
Iteration 3 - 16th Oct : 04.39 AM
Iteration 4 - 16th Oct : 04.39 AM
Iteration 5 - 16th Oct : 04.39 AM
Iteration 6 - 16th Oct : 04.39 AM
Iteration 7 - 16th Oct : 04.39 AM
Iteration 8 - 16th Oct : 04.39 AM
Iteration 9 - 16th Oct : 04.39 AM
Iteration 10 - 16th Oct : 04.39 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.39 AM
Iteration 2 - 16th Oct : 04.40 AM
Iteration 3 - 16th Oct : 04.40 AM
Iteration 4 - 16th Oct : 04.40 AM
Iteration 5 - 16th Oct : 04.40 AM
Iteration 6 - 16th Oct : 04.40 AM
Iteration 7 - 16th Oct : 04.40 AM
Iteration 8 - 16th Oct : 04.40 AM
Iteration 9 - 16th Oct : 04.40 AM
Iteration 10 - 16th Oct : 04.40 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.40 AM
Iteration 2 - 16th Oct : 04.40 AM
Iteration 3 - 16th Oct : 04.40 AM
Iteration 4 - 16th Oct : 04.40 AM
Iteration 5 - 16th Oct : 04.40 AM
Iteration 6 - 16th Oct : 04.40 AM
Iteration 7 - 16th Oct : 04.40 AM
Iteration 8 - 16th Oct : 04.40 AM
Iteration 9 - 16th Oct : 04.40 AM
Iteration 10 - 16th Oct : 04.40 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.40 AM
Iteration 2 - 16th Oct : 04.40 AM
Iteration 3 - 16th Oct : 04.40 AM
Iteration 4 - 16th Oct : 04.40 AM
Iteration 5 - 16th Oct : 04.40 AM
Iteration 6 - 16th Oct : 04.40 AM
Iteration 7 - 16th Oct : 04.40 AM
Iteration 8 - 16th Oct : 04.40 AM
Iteration 9 - 16th Oct : 04.40 AM
Iteration 10 - 16th Oct : 04.40 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.40 AM
Iteration 2 - 16th Oct : 04.40 AM
Iteration 3 - 16th Oct : 04.41 AM
Iteration 4 - 16th Oct : 04.41 AM
Iteration 5 - 16th Oct : 04.41 AM
Iteration 6 - 16th Oct : 04.41 AM
Iteration 7 - 16th Oct : 04.41 AM
Iteration 8 - 16th Oct : 04.41 AM
Iteration 9 - 16th Oct : 04.41 AM
Iteration 10 - 16th Oct : 04.41 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.41 AM
Iteration 2 - 16th Oct : 04.41 AM
Iteration 3 - 16th Oct : 04.41 AM
Iteration 4 - 16th Oct : 04.41 AM
Iteration 5 - 16th Oct : 04.41 AM
Iteration 6 - 16th Oct : 04.41 AM
Iteration 7 - 16th Oct : 04.41 AM
Iteration 8 - 16th Oct : 04.41 AM
Iteration 9 - 16th Oct : 04.41 AM
Iteration 10 - 16th Oct : 04.41 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.41 AM
Iteration 2 - 16th Oct : 04.41 AM
Iteration 3 - 16th Oct : 04.41 AM
Iteration 4 - 16th Oct : 04.41 AM
Iteration 5 - 16th Oct : 04.41 AM
Iteration 6 - 16th Oct : 04.41 AM
Iteration 7 - 16th Oct : 04.41 AM
Iteration 8 - 16th Oct : 04.41 AM
Iteration 9 - 16th Oct : 04.41 AM
Iteration 10 - 16th Oct : 04.41 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.41 AM
Iteration 2 - 16th Oct : 04.41 AM
Iteration 3 - 16th Oct : 04.42 AM
Iteration 4 - 16th Oct : 04.42 AM
Iteration 5 - 16th Oct : 04.42 AM
Iteration 6 - 16th Oct : 04.42 AM
Iteration 7 - 16th Oct : 04.42 AM
Iteration 8 - 16th Oct : 04.42 AM
Iteration 9 - 16th Oct : 04.42 AM
Iteration 10 - 16th Oct : 04.42 AM


Round 1 - Start Time: 04.30 AM
Iteration 1 - 16th Oct : 04.42 AM
Iteration 2 - 16th Oct : 04.42 AM
Iteration 3 - 16th Oct : 04.42 AM
Iteration 4 - 16th Oct : 04.42 AM
Iteration 5 - 16th Oct : 04.42 AM
Iteration 6 - 16th Oct : 04.42 AM
